recommended_cluster	dataset	cell_count
MPNST_3_C09	MPNST_4	0
MPNST_3_C10	MPNST_4	0
MPNST_3_C11	MPNST_4	0
MPNST_3_C12	MPNST_4	0
MPNST_4_C00	MPNST_4	1005
MPNST_4_C01	MPNST_4	830
MPNST_4_C02	MPNST_4	764
MPNST_4_C03	MPNST_4	716
MPNST_4_C04	MPNST_4	531
MPNST_4_C05	MPNST_4	439
MPNST_4_C06	MPNST_4	411
MPNST_4_C07	MPNST_4	394
MPNST_4_C08	MPNST_4	353
MPNST_4_C09	MPNST_4	344
MPNST_4_C10	MPNST_4	325
MPNST_4_C11	MPNST_4	316
MPNST_4_C12	MPNST_4	298
MPNST_4_C13	MPNST_4	151
