source	target	weight	p_value
VEGF	NUDT19	-9.11136805816042	3.49219323703631e-11
VEGF	CRYM	3.46103326090118	4.31513119937676e-11
VEGF	ANKS1B	-2.57751849088035	4.4444504999133e-11
VEGF	ZNF669	-2.18745320858855	4.72312053345635e-11
VEGF	P2RY14	2.83000209492682	4.94573259345856e-11
VEGF	ZNF347	3.03105365010758	5.93041056621868e-11
VEGF	IMMP2L	-2.01199922020731	9.77699584187608e-11
VEGF	C1QTNF4	-1.85916802627489	9.84091694058753e-11
VEGF	CD93	3.08046025142857	1.00578682091227e-10
VEGF	PTCH1	-2.78416382323069	1.18972021057219e-10
VEGF	ADGRD1	-3.68664523264694	1.43454440033083e-10
VEGF	LINC01558	-1.20642645652423	1.64655307945835e-10
VEGF	IKZF3	-1.60694787639927	1.87205589752492e-10
VEGF	AHRR	18.5042225173004	2.10510852372782e-10
VEGF	RGL1	9.31297358657362	2.6488863091773e-10
VEGF	HMHB1	-1.70945328379811	2.83148739992007e-10
VEGF	SENP5	1.86554945711406	2.86069464465674e-10
VEGF	ZNF200	3.50469205309727	3.08827630004199e-10
VEGF	MZB1	-1.70130741236217	3.23901789736889e-10
VEGF	NKD2	3.89538372600471	3.5124904944304e-10
VEGF	CNR1	-1.45613759001507	3.80301804466259e-10
VEGF	DCHS2	-1.73174543158831	4.07628864847217e-10
VEGF	TTC28	-2.07389642175488	4.27938440005055e-10
VEGF	XK	-4.11559505539785	5.42699652270307e-10
VEGF	WNT16	-2.03801122829194	5.96955847874486e-10
VEGF	ZNF415	-2.78346505845975	6.07273084227442e-10
VEGF	SMCO3	-2.10198457226268	6.28283030269135e-10
VEGF	BCAR3	5.83201039316044	7.34629583487716e-10
VEGF	LMO2	3.65174298925834	7.51891367978119e-10
VEGF	CAMK4	-2.54705763730386	8.07354225890124e-10
VEGF	ARL9	-2.32334540018359	8.09678501139205e-10
VEGF	FAT1	-5.1053841819177	9.92285242252651e-10
VEGF	PLAA	2.302383390894	1.01505384829872e-09
VEGF	RUBCNL	3.1367475160911	1.03690034248249e-09
VEGF	CPVL	-4.0383857404609	1.23611980723252e-09
VEGF	MYEF2	-2.36864642954137	1.35293055574645e-09
VEGF	CSMD1	-1.35447220477316	1.63634355960673e-09
VEGF	TMSB15B	-2.22124959710701	1.82885885389063e-09
VEGF	DGKE	1.54756144737829	1.84435694464151e-09
VEGF	LIPC	-2.30505695768852	2.00157429221527e-09
VEGF	ALKBH1	1.75594202846895	2.235912033615e-09
VEGF	HOXD10	-1.82701963282543	2.30161365369359e-09
VEGF	CCDC141	-1.58801197816074	2.53347360386626e-09
VEGF	SAP30BP	1.75311662299697	2.54179924992321e-09
VEGF	NPTX1	2.37867180415157	2.62006964554925e-09
VEGF	IL21R	2.54369361167438	3.03895267972339e-09
VEGF	KIF26A	-2.10745048885752	3.10179395669625e-09
VEGF	ANXA5	-5.26878270342457	3.12616454544119e-09
VEGF	TRPC6	-2.12534568209119	3.19332327747377e-09
VEGF	SLC38A4	-2.22955626474965	3.83795195211101e-09
VEGF	SLFN13	-3.53155263947754	5.47583895322046e-09
VEGF	ZNF202	2.30653707966537	5.65422148440551e-09
VEGF	ASTE1	2.65124034624065	6.23662222537933e-09
VEGF	GRIP1	-1.61752794014123	6.37612254299665e-09
VEGF	SST	-1.22482486385723	6.60379716710657e-09
VEGF	CAPSL	-2.49836082209338	6.81889660494827e-09
VEGF	SLC25A43	-4.35830552974223	6.86410093138263e-09
VEGF	GPR68	2.15720693695108	7.30361953387566e-09
VEGF	TBX1	-1.00386277078018	7.72552777576314e-09
VEGF	BAALC	2.14178266787112	7.84539146243355e-09
VEGF	MFSD8	3.20567288114981	8.23627992133512e-09
VEGF	HECW1	-1.35347270804291	8.51051752802579e-09
VEGF	MYOM2	-2.0130472396557	8.71572963957864e-09
VEGF	SAMSN1	3.28370365184556	8.7415862310373e-09
VEGF	CA13	11.4773605804905	9.90901031595138e-09
VEGF	EID3	-4.17660332137928	1.09996302853022e-08
VEGF	STK33	-1.66861951656259	1.1005055043972e-08
VEGF	NCBP3	2.95975836070336	1.20309020504129e-08
VEGF	APBA1	-1.4296427557661	1.2397809687538e-08
VEGF	SCAI	-2.28173208618383	1.45610375686588e-08
VEGF	TBX18	-1.60412548084331	1.60539027840545e-08
VEGF	MAD2L1BP	2.06120220942149	1.68260298585891e-08
VEGF	LPCAT1	4.3874781101082	1.70179379310989e-08
VEGF	CRISPLD1	-6.03898067869792	1.76285750267988e-08
VEGF	PLA2G1B	-1.19235124931311	1.90553562370516e-08
VEGF	AASS	-2.76957673996815	2.0580484756121e-08
VEGF	HDAC9	-2.35763820506796	2.08725187667367e-08
VEGF	LCN10	1.47738442655261	2.14915778538092e-08
VEGF	KIFBP	3.34238252490321	2.15329550660955e-08
VEGF	CATSPERE	-1.40134962354125	2.15528682725232e-08
VEGF	ZNF572	3.07813016165433	2.23862741787015e-08
VEGF	TMEM150C	-3.37910334143885	2.36089542920846e-08
VEGF	PPP2CB	1.55266756994407	2.55162052417356e-08
VEGF	TKTL1	1.49616068880392	2.57617509603034e-08
VEGF	DPY19L2	-2.03049583076283	2.80854303407542e-08
VEGF	LINS1	1.99994718258084	2.81280721503391e-08
VEGF	MLIP	-3.56518553076599	2.87239444053107e-08
VEGF	LDLRAP1	-2.56891197325546	2.94509613499637e-08
VEGF	SFMBT1	1.72247136792759	3.46026971853099e-08
VEGF	MSANTD2	2.73243489057946	3.50489376288019e-08
VEGF	CYSLTR1	2.34991030126932	4.18182401614403e-08
VEGF	ZNF112	-3.28234633052532	4.42815995009814e-08
VEGF	CD84	-1.32359493245824	4.64738130749506e-08
VEGF	RLN2	-2.4341777648818	4.72001104435139e-08
VEGF	TRAF3	2.78302529660645	5.33054950442083e-08
VEGF	ERMN	2.84646636091042	5.37277408924368e-08
VEGF	FGF9	-2.28526111106739	5.62592127279794e-08
VEGF	SRFBP1	4.09923608294224	5.75788038578732e-08
VEGF	IRX1	2.31565768335748	5.93453930956599e-08
VEGF	ACP5	3.96225220032566	6.16059972640761e-08
VEGF	SLC23A3	1.6945194891986	6.59935003906392e-08
VEGF	FHOD3	-3.35512388076389	6.60967971802398e-08
VEGF	CFAP20DC	-2.98597009984544	6.7761935221904e-08
VEGF	E2F6	3.06857484864722	6.85958365026608e-08
VEGF	PARP15	1.57855729590811	6.981690295683e-08
VEGF	ZNF234	1.83207874759015	6.9817249721776e-08
VEGF	ZNF594	2.19166422392229	7.31396761930251e-08
VEGF	PCDH9	-2.91212997021231	7.56120516255608e-08
VEGF	APBB3	-10.3151269988406	8.45511672576034e-08
VEGF	FBXO25	-3.43475817846424	8.45690766427326e-08
VEGF	DOK5	2.20963615040971	9.17429046549001e-08
VEGF	PGM5	-1.26936009472266	9.53762642741253e-08
VEGF	SNX22	-1.22224253743068	9.69280096300542e-08
VEGF	ZAP70	-1.11498263029041	9.74835733524754e-08
VEGF	BCHE	-3.24750235993993	1.0387277491935e-07
VEGF	SNX10	-4.0428053992266	1.05615546546167e-07
VEGF	TMEM273	1.75810181842327	1.08226463787753e-07
VEGF	LRRC2	2.50918433195343	1.10197644414468e-07
VEGF	ADD2	-1.20388602316121	1.15320910596761e-07
VEGF	PPP1R16B	1.66460781641082	1.21578706809557e-07
VEGF	TRIL	-1.73517996400549	1.21670028473377e-07
VEGF	KCNK17	-1.43328344754152	1.23879943446614e-07
VEGF	TMEM121B	1.94173159567525	1.31262560342613e-07
VEGF	PPP1R14A	-2.7898554385483	1.31847535390476e-07
VEGF	ITPRIPL2	2.96763795802144	1.33857635229574e-07
VEGF	ZSCAN22	1.54011027370157	1.45361995995373e-07
VEGF	NCF4	1.8109504588682	1.53423988188198e-07
VEGF	INPP5A	3.13149164454822	1.55820190180443e-07
VEGF	IGHM	-1.11218095594776	1.57683304100132e-07
VEGF	RUNX1T1	-1.27371685506563	1.59249068977705e-07
