PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_4	9	TPX2	0.105172390927468	DUSP1	-0.064063519638005
PC_4	10	H2AFZ	0.104856870289228	IL7R	-0.0619084119861433
PC_5	1	CCL5	0.133360061276195	ATF3	-0.133413473540925
PC_5	2	IL7R	0.122301677466297	NFKBIA	-0.12517836160585
PC_5	3	PTPRC	0.121845300517428	IER3	-0.120109707134845
PC_5	4	CD2	0.119521850745199	SOD2	-0.113013295074671
PC_5	5	PTPRCAP	0.112694307654043	CD83	-0.103768760399762
PC_5	6	B2M	0.109165371597743	FOS	-0.101222098391583
PC_5	7	CD3D	0.106543632895734	CXCL2	-0.0961686223108908
PC_5	8	IL32	0.0937303499193929	PPP1R15A	-0.0958811767235389
PC_5	9	CD52	0.0886251817108451	IL8	-0.0947148599518957
PC_5	10	GZMA	0.0820651576619678	GADD45B	-0.0917675798336396
PC_6	1	TNMD	0.233689092222541	APOD	-0.166281197512496
PC_6	2	THBS4	0.174091177024892	ABCA8	-0.128186610321821
PC_6	3	IGFBP2	0.171246158594406	PI16	-0.122418769128048
PC_6	4	SCXA	0.163596672244786	LUM	-0.114128713760915
PC_6	5	NPW	0.110296136691539	CAPN6	-0.101014279427076
PC_6	6	DLK1	0.0965463952433062	APOE	-0.0947272874197905
PC_6	7	COL1A1	0.0868245719178921	ABCA10	-0.0896739405777626
PC_6	8	CYTL1	0.0828207154143482	FMO1	-0.0861164954358308
PC_6	9	CRABP1	0.0794578338594223	RNASE1	-0.0813767515099529
PC_6	10	FABP5	0.0778719694713465	JUN	-0.0813480064287974
PC_7	1	CTGF	0.176360517835223	APOD	-0.290872045536647
PC_7	2	MGP	0.128152613254389	ABCA8	-0.102548469646023
PC_7	3	PTN	0.0941845171678811	PI16	-0.100763364336545
PC_7	4	COL1A2	0.0941594413869627	APOE	-0.099659008935277
PC_7	5	POSTN	0.0922649384657279	CYP1B1	-0.0825541601797681
PC_7	6	COL14A1	0.0922271951974708	GNG11	-0.0786517548080677
PC_7	7	SPARCL1	0.0863759999026666	CLDN1	-0.0727618893769661
PC_7	8	COL1A1	0.0851348476548608	FZD2	-0.0727510684999794
PC_7	9	DARC	0.0845540622667152	C11orf96	-0.0709099731356666
PC_7	10	MALAT1	0.0820155571342433	FOXS1	-0.0671559053298251
PC_8	1	RNASE1	0.161276994767847	LYZ	-0.178600613804406
PC_8	2	FOLR2	0.13966228006477	S100A4	-0.146981328424281
PC_8	3	SEPP1	0.139481493025724	HLA-DQA1	-0.123540815824392
PC_8	4	C1QB	0.128178206562549	CST3	-0.117180523882587
PC_8	5	C1QC	0.123211639474536	S100A6	-0.116191617430302
PC_8	6	JUN	0.121652686437177	FCER1A	-0.111855925671687
PC_8	7	C1QA	0.118837860515179	HLA-DQB1	-0.110391111355443
PC_8	8	MS4A7	0.10951998380718	HLA-DPB1	-0.107667453495432
PC_8	9	HSP90AA1	0.0951378686312148	FCN1	-0.105759816409223
PC_8	10	FOSB	0.0934881565264962	S100A10	-0.0947213294261948
PC_9	1	APOD	0.189075519504114	CXCL14	-0.126134887121728
PC_9	2	THBS4	0.154346239055023	GNG11	-0.111723003767105
PC_9	3	IGFBP7	0.146655670213714	IL32	-0.109242781823429
PC_9	4	IFI27	0.13215172246782	LUM	-0.106732171102794
PC_9	5	TNMD	0.106943188518843	CAV1	-0.104718012461781
PC_9	6	DARC	0.103878525583483	CTGF	-0.0958412192102543
PC_9	7	SCXA	0.0952130642197397	MGP	-0.0936722320637492
PC_9	8	ADIRF	0.0933523552615206	DIO2	-0.0897364776946903
PC_9	9	ENG	0.0877615228418641	MSX1	-0.085085203290686
PC_9	10	CLU	0.0869307794925873	KDR	-0.0843238577827482
PC_10	1	APOD	0.10638023076147	S100B	-0.16906702983219
PC_10	2	DARC	0.0652005303226117	GPM6B	-0.15776252506995
PC_10	3	VWF	0.0650894814168505	PTPRZ1	-0.15732102834364
PC_10	4	SPARCL1	0.0556832415753902	CRYAB	-0.141489478118813
PC_10	5	RAMP3	0.0545902076190462	LGI4	-0.132464036321308
PC_10	6	ENG	0.0544548858454815	CADM1	-0.131862767320078
PC_10	7	COL3A1	0.0541257750058106	MIA	-0.131560516544334
PC_10	8	COL1A1	0.0537388997422366	S100A6	-0.129597602034326
PC_10	9	CLU	0.0475494538977879	CDH19	-0.121410494037114
PC_10	10	CLEC14A	0.0475334060423012	S100A4	-0.119947026410976
