PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_6	8	SCG2	0.0684050745470801	TSHZ2	-0.0720884623578918
PC_6	9	FTLP3	0.0682446378390255	CCL5	-0.0686031373204058
PC_6	10	NUPR1	0.0673864305881594	PTPRC	-0.0671578586510799
PC_7	1	APOD	0.225131490465772	RGS5	-0.0963083625814371
PC_7	2	DCN	0.213583348772878	NDUFA4L2	-0.09502478540039
PC_7	3	LUM	0.198202631616287	THY1	-0.0890404566733432
PC_7	4	C1R	0.125755948134763	ACTA2	-0.0725253527377361
PC_7	5	CCL2	0.12228348043228	HIGD1B	-0.0703497202846033
PC_7	6	SERPINF1	0.119830770589102	MYH11	-0.0702887561525952
PC_7	7	SFRP4	0.119232835685155	CCDC102B	-0.0634134175555193
PC_7	8	C1S	0.113437192812973	COX4I2	-0.0625573800211307
PC_7	9	LINC01088	0.104042524870972	INPP4B	-0.061873043102112
PC_7	10	FMO2	0.0969784274855203	KCNAB1	-0.0586832034163964
PC_8	1	SERPINE2	0.245386648992016	KIRREL3	-0.155649794326585
PC_8	2	CAPS	0.18656689770625	CRYAB	-0.146272759901124
PC_8	3	S100B	0.16834785625771	NRXN1	-0.132194603864243
PC_8	4	LPL	0.145667229669532	XKR4	-0.121552796657627
PC_8	5	PTN	0.125324277193573	VEGFA	-0.0969483988532345
PC_8	6	GAP43	0.108790170660407	CADM1	-0.089284527912673
PC_8	7	FREM1	0.104603736847392	DGKB	-0.0867896001775129
PC_8	8	TRPM3	0.104308225428965	FRMD5	-0.084542038708573
PC_8	9	DLK1	0.0965525278981826	PAPPA	-0.0825370699592659
PC_8	10	FSTL5	0.0961900134428616	NCAM2	-0.080886265789481
PC_9	1	IGFBP5	0.119746956667058	SPP1	-0.153218875337275
PC_9	2	SERPINE2	0.0933975290138322	HLA-DRA	-0.137055592857897
PC_9	3	IL1B	0.0916958224497673	FTL	-0.135815435111782
PC_9	4	VEGFA	0.0882845678743164	APOE	-0.13259380345851
PC_9	5	GSN	0.0867035409346943	HLA-DPA1	-0.131409323432604
PC_9	6	CD83	0.0856088011038279	CD74	-0.130565321753897
PC_9	7	NFKBIA	0.0801280685098865	HLA-DRB1	-0.114666237869777
PC_9	8	NFKB1	0.0782149655882841	C1QB	-0.111354799555087
PC_9	9	DOCK4	0.0744921618577707	TMSB4X	-0.111226810338272
PC_9	10	IL8	0.0703745994902462	C1QC	-0.108607369484025
PC_10	1	GSN	0.13428026556405	MGP	-0.175192439668778
PC_10	2	GLUL	0.103589557889185	S100B	-0.109036702625411
PC_10	3	VEGFA	0.102209932041028	SCG2	-0.107650523939944
PC_10	4	CADM1	0.0907608002898295	CRYAB	-0.103964504734349
PC_10	5	IGFBP5	0.0904130357459744	XKR4	-0.0918137484810592
PC_10	6	MTND2P28	0.0851184294734214	IL1B	-0.0810690932303826
PC_10	7	SPP1	0.0830670508711144	PLAUR	-0.0808162699020452
PC_10	8	APOC1	0.0803995927993843	SEMA3B	-0.0790532251887472
PC_10	9	HFM1	0.078468182800596	NOV	-0.0781436118079672
PC_10	10	MTATP6P1	0.0745514225887158	IGFBP2	-0.0765702692296217
