gmean	variance	residual_variance	gene
0.00981648875585517	1.94947459159191	6.79894304507668	CXCL10
0.379229674908367	5.42274846711688	6.77290480787266	ZNF331
0.988425675170989	51.5464601010587	6.76759401489734	KAZN
0.0393267739556804	0.291963227016756	6.75680382868831	CD96
0.127560238188238	1.18391275980022	6.7556558792607	SLC11A1
0.212261853310587	7.07049918929793	6.72647033889416	CADPS
0.0337245563874078	1.10303920569308	6.72372262113516	KCND2
5.44074199366357	50.2870298191055	6.72286561513041	HFM1
0.684684368678276	37.7992945572665	6.72036211595758	PDE7B
0.606557215332432	23.7671711974055	6.68527630396911	PLP1
0.752347651322955	45.3931671984825	6.67428977733876	ROBO1
1.25471156146763	94.7967962737875	6.67157599055022	MIR4435-1HG
0.966332344318471	14.6536385871074	6.67094424299152	SH3PXD2A
0.197386212188392	2.20514099454973	6.63833933693415	HLA-DQB1
0.868967237242281	52.8854915462249	6.60582933256082	THSD4
0.323249433907216	6.04549872793683	6.60071330309962	ICAM1
1.27447702262051	119.425258823596	6.5943970428275	KCNQ1OT1
0.0770743028450067	2.41841688109179	6.58696030130377	ABCB1
0.118474314509332	1.29160017461011	6.57503007131441	VSIG4
1.14947890846828	31.720622118324	6.5706964800456	NAMPT
11.9430639360271	867.721054262791	6.54663887153351	DHFR
0.0982888259168911	1.19974049945318	6.53684787220715	EMR2
0.387160254056083	7.085287064072	6.52847169082855	IGF2BP3
0.315675556400566	8.02148573462753	6.51273149879446	GALNT18
0.111995705001879	0.836118902508947	6.50490891878602	CYTIP
0.142058996405843	3.57003850080227	6.48987955243552	CD36
0.20480274435796	2.3810523897558	6.48071931196185	NFKBID
0.684141000588826	31.5132495846459	6.46983792597865	ADIRF
0.0160308616652163	1.09394199198663	6.44266055045498	UBE2C
0.1089296091658	3.2196921350086	6.43383353072521	PALMD
0.876442425707503	58.889702195268	6.42991294248643	BICC1
0.0526161204842632	0.343702386021809	6.4276248326331	RAB42
0.104723747979517	1.04665915036078	6.41991903793149	RNF144B
0.277678548807196	5.57487649750485	6.33756067049925	TGFA
0.167613444083969	1.76302122381948	6.32176657171284	MARCH1
1.00923045980472	76.1709529444421	6.32078680571533	CAV1
0.149475247379513	1.55477950300972	6.31541242461893	CSF2RA
0.644717797548602	21.5028435195836	6.30596316301687	DCBLD2
0.439134184784553	14.0732910536816	6.30323467436276	AP000320.7
0.0644418793411066	2.25681251025127	6.27259805990241	TM4SF18
0.148787154787029	1.05131791473045	6.26467414632775	AOAH
0.0607817160155597	1.96854769206464	6.26397466226656	CDH5
0.0684455999657276	0.676178915675426	6.25951626138124	NAPSB
0.756798106444167	32.1280481526496	6.25902840496314	NCKAP5
1.10556022292824	73.5753082625376	6.25796619601611	LINC00478
0.141335232577637	4.91715161327213	6.2525870878004	RP11-649A16.1
1.75639793514757	126.172847370873	6.25159438411919	FRMD5
0.423259136051615	8.51918011900867	6.22289176211968	TMEM178B
1.92230963300546	178.34723894764	6.21970287099805	PMEPA1
0.0764233119410753	1.24617840343521	6.21377561591718	HS3ST5
0.066792236182792	2.04669140252233	6.2132778417803	CENPF
0.439674221842192	5.1091152024788	6.20564308359786	ARHGAP15
0.318430099084904	3.86892331764017	6.20125805723984	SERPINB9
0.749220174136638	29.1855896307403	6.1935608832235	PDZRN3
0.231678204330239	4.34510030163537	6.18223751022584	OLFM1
0.286430834211444	10.3722671424118	6.17705975179769	CCDC3
0.13419404130405	1.40725432174653	6.14570244057104	PIK3R5
0.0681232524001873	3.39053538760633	6.14438466818847	CRABP1
1.43930115927951	104.556931636283	6.13283081486934	PTPRG
0.0890529977803014	2.71258022294004	6.12531390933358	LUZP2
0.0750064822239664	0.939841543578104	6.12497670577513	FRMPD4
1.21207660352644	75.4681467821751	6.12046890541372	CACNA1C
4.10928961262743	531.448183039116	6.11355819780708	S100A10
0.173577661592192	6.10621264591734	6.10918736116487	EFEMP1
0.504736307772746	18.317619217873	6.1034611253727	PLCL1
0.254800811538993	7.41580842285029	6.08796865433803	DCLK1
0.373967339334581	12.29264680037	6.08063609589697	PAMR1
0.0279359566397208	0.469057569418465	6.07775543829447	BTNL9
0.100373649245912	5.53927690653812	6.03751223642223	TPRG1
0.131151283537805	1.86736662480785	6.03705977113626	RASGRP3
0.0156830097290017	0.419953429258505	6.03117834904065	H19
0.0683096417036637	2.30843011137689	6.01224427906837	KCNE3
0.215159563035575	1.84118442355127	6.01180900320287	ITGB2
0.0290487989017838	0.594218205017159	6.00424966205968	GRM8
0.11683048896612	0.795480489080746	5.99889072110562	LCP1
0.725022183929697	26.9385252069618	5.99645616519639	LGI4
0.123386110899047	2.42438836017765	5.98072919331545	RASGRF2
0.166932748492406	1.5145961037664	5.9743061176671	CSF1R
0.178746603552613	1.28734858084453	5.97429187175614	HCST
0.804467541668903	37.2362982383246	5.95514668470452	CPE
0.128804421239665	2.3298876986634	5.93458930112428	IFIT2
0.316972686173635	5.493734301864	5.92894778490267	PAPPA
0.0874176589108771	0.854386388828944	5.92520668152451	HCK
0.0784966587459279	1.78460288706863	5.9207563630253	PRELP
0.0290267392767594	0.632443259910513	5.90249574187335	CXCL14
0.113049883207364	1.9329568281534	5.89798391937786	RGS7
0.792475644513269	48.158548625136	5.8952509269366	SNED1
0.0255422111599433	1.02356918976879	5.89027304841222	DIAPH3
0.0368610104082316	0.360038295561223	5.88434962575225	C15orf48
0.640297377715743	28.6709858002527	5.88047001712742	EBF2
0.052971892971877	0.915310928946764	5.87848575600634	TRPC6
0.867553475080465	39.7909939891983	5.87724920646927	GRB10
0.369369948126898	19.8433854697282	5.87582471406722	PDLIM1
0.160949469641334	2.26314159164593	5.85700737970107	PID1
0.20871264401352	2.16476221964548	5.84410526056975	PDE3B
0.844895907986157	41.7373802034853	5.84168709485524	CDH11
0.0669724572518233	2.01280334925762	5.84038076011991	CXorf36
0.0877974037866156	1.39702969665203	5.81854237442963	MROH8
0.19135771534323	9.93449430766594	5.81178791444129	EDN3
2.26879002053336	109.462735110928	5.81024743786098	PLXDC2
0.777548482065136	68.7712627721585	5.80543263420471	MEST
0.172288751026402	4.08237902291819	5.79716738033	ASIC2
0.091595371421906	2.98082986708833	5.79684071793864	PCP4
0.118661390380664	3.17818456894469	5.78751615802214	NTN4
0.197978708532825	5.09115709544971	5.77773806911518	FILIP1
0.0973290634987063	2.38067064144374	5.77591862797438	DSCAM
0.250795374344389	4.73910526294906	5.74233435677591	RAPGEF5
1.52263942509279	129.06028474002	5.73190243805588	GPC6
0.0510537987855122	0.652541185751583	5.71559829909147	SLC37A2
13.5881609396832	2347.76154028044	5.69815496087098	B2M
0.0203805197322251	0.435701935526378	5.66868889561237	CCDC79
