gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ACADVL	17	5.87027519464627e-28	1.05028063996242	0.628	0.327	1.62295498306385e-23
PDZD11	17	6.36258676777257e-28	1.47293972649857	0.375	0.14	1.75906436368608e-23
RHOC	17	6.96868155407558e-28	0.751482515368009	0.892	0.657	1.92663138925528e-23
AEBP1	17	7.60092082454277e-28	0.93272064384194	0.812	0.578	2.10142658036134e-23
ISCU	17	7.85161900159415e-28	0.990380897352631	0.769	0.47	2.17073710537074e-23
CAMK2G	17	8.4757678477451e-28	1.87543018608691	0.267	0.08	2.34329553686609e-23
FAM211A-AS1	17	9.45058451767974e-28	0.755910790127206	0.924	0.797	2.61280310160292e-23
MTMR2	17	1.12472121278967e-27	1.23772996489326	0.531	0.249	3.10951673699959e-23
RPL7AP6	17	1.14968191317542e-27	0.718085742972731	0.949	0.842	3.1785255853561e-23
CDC42EP1	17	1.66258869938163e-27	1.19893347413723	0.437	0.173	4.59655897718039e-23
FADS3	17	3.50877354523847e-27	1.48796308850397	0.437	0.188	9.7007062205208e-23
FBXW5	17	3.62076986498124e-27	1.18175766882359	0.498	0.221	1.00103424457136e-22
SMIM12	17	3.96318254289188e-27	1.37121387894648	0.43	0.177	1.09570107763332e-22
PFN1P1	17	4.2563721322682e-27	1.39223287932095	0.437	0.184	1.17675920340819e-22
ATP2A2	17	5.05270383809381e-27	1.00277875146639	0.729	0.457	1.39692103011779e-22
SOX13	17	5.4679901997355e-27	1.62051381928284	0.271	0.082	1.51173525052087e-22
RABAC1	17	5.74452467924367e-27	0.862431764118202	0.848	0.615	1.5881887380705e-22
TMSB4X	17	6.98542423554312e-27	0.34811445777198	1	0.966	1.93126023840061e-22
RHOQ	17	8.3322400122835e-27	1.0342941056815	0.809	0.593	2.30361439619602e-22
NME2P1	17	9.17651882567899e-27	1.08549278411302	0.675	0.409	2.53703215973547e-22
ST5	17	1.07663173092859e-26	1.05640355839975	0.729	0.426	2.97656374649828e-22
NFATC4	17	1.27004094967117e-26	1.69847764950323	0.307	0.103	3.51128221355589e-22
SYNE2	17	1.79961222951598e-26	0.86913778219247	0.729	0.444	4.97538793094282e-22
ARPC5	17	2.04989629901149e-26	0.806786814812639	0.874	0.665	5.66734829787707e-22
JUNB	17	2.59291303058531e-26	1.03898560579773	0.949	0.857	7.16862665565921e-22
TENC1	17	2.74845380579091e-26	1.52271654218385	0.401	0.161	7.59865023687012e-22
RBBP7	17	3.88952804316537e-26	1.11971739715972	0.513	0.232	1.07533781809393e-21
C1orf132	17	4.54278494460177e-26	1.48358962538697	0.415	0.175	1.25594375363405e-21
HCFC1R1	17	4.64030139748309e-26	1.00992925162161	0.588	0.297	1.28290412736215e-21
DCTN2	17	4.66799821334776e-26	1.01424081231627	0.643	0.345	1.29056146604425e-21
DDAH1	17	1.04158571399532e-25	1.52305443692167	0.671	0.413	2.87967202348286e-21
SLC15A4	17	1.07841718009944e-25	1.42298835504083	0.408	0.169	2.98149997782091e-21
COL1A1	17	1.33094247646493e-25	0.745381374694034	0.96	0.774	3.6796566646826e-21
SMURF1	17	1.66383642520923e-25	1.10204354292107	0.592	0.309	4.60000856477595e-21
KCNT2	17	3.85369662086718e-25	1.37060723828653	0.419	0.174	1.06543150477115e-20
ATP5B	17	4.26926093574141e-25	0.807108988484424	0.834	0.611	1.18032257090443e-20
GARNL3	17	4.68730322302943e-25	1.78390950560011	0.31	0.111	1.29589872207095e-20
CD9	17	5.04133530269323e-25	0.617398293364646	0.946	0.699	1.3937779711356e-20
MAP1LC3A	17	5.15046546303388e-25	0.886008636564026	0.621	0.312	1.42394918656498e-20
SLC8A1	17	5.54029903665314e-25	0.944156741398714	0.516	0.241	1.53172647466349e-20
IER5L	17	6.56225420564868e-25	1.25898808479931	0.718	0.507	1.81426642023569e-20
LASP1	17	6.75587567922215e-25	1.31364007011777	0.549	0.294	1.86779694903455e-20
ITM2B	17	8.12589811806424e-25	0.517844476311892	0.996	0.957	2.24656705270122e-20
RP11-603J24.7	17	1.01042148925178e-24	1.30715151907971	0.39	0.158	2.79351229133439e-20
TFPI	17	1.02702931589708e-24	0.484155551848145	0.863	0.503	2.83942794966067e-20
TJP1	17	1.45288114251073e-24	0.976180488641099	0.827	0.608	4.01678049469941e-20
SMDT1	17	1.551232259628e-24	1.05532886888637	0.484	0.217	4.28869182819353e-20
FAS	17	1.87243108196606e-24	1.52479985668434	0.332	0.123	5.17671021231156e-20
PLEKHO1	17	2.15726957238841e-24	1.02471076543082	0.588	0.306	5.96420318678223e-20
NDUFB7	17	2.96797004671989e-24	0.937826613649216	0.733	0.477	8.20554678816647e-20
EI24	17	2.96994690517456e-24	1.0728536720226	0.48	0.217	8.2110122087361e-20
OSMR	17	3.0043866163009e-24	1.50159363021353	0.469	0.22	8.30622767808708e-20
EIF3G	17	3.37785230828301e-24	0.985290013777874	0.65	0.382	9.33874827671004e-20
C19orf43	17	3.73956171656638e-24	0.679131623128926	0.87	0.722	1.03387662777911e-19
TTC7B	17	5.96671141899845e-24	1.31100498364955	0.448	0.202	1.6496167060105e-19
CLIC1	17	6.70761160441683e-24	0.700676936955797	0.975	0.884	1.85445338027312e-19
GAMT	17	6.77991153062324e-24	1.21048494590685	0.469	0.218	1.87444214087141e-19
HSPB1	17	7.91780694864749e-24	0.748431923768279	0.917	0.734	2.18903608709257e-19
PEA15	17	8.03671493516738e-24	1.20536846704982	0.477	0.225	2.22191057812573e-19
LMCD1	17	9.89986074032861e-24	1.31952098797862	0.505	0.248	2.73701449887865e-19
RRAGA	17	1.24713178456358e-23	1.07345875566043	0.52	0.248	3.44794524478294e-19
TMEM38B	17	1.35046243820659e-23	1.6626862584491	0.318	0.119	3.73362350290975e-19
HGF	17	1.45945270837354e-23	1.58092491015879	0.31	0.112	4.03494890284034e-19
GSTM3	17	1.5279974513309e-23	1.15794750926721	0.491	0.235	4.22445455369453e-19
RPS23	17	1.72454559404602e-23	0.602327452074407	0.96	0.896	4.76785120385903e-19
CMPK1	17	2.18511280950884e-23	1.14972046757361	0.513	0.255	6.04118138444908e-19
STK38L	17	2.60770980014569e-23	0.987691679783095	0.538	0.272	7.2095352844628e-19
PARVA	17	4.21667910006109e-23	1.01442128329658	0.7	0.444	1.16578527079389e-18
RPL5	17	4.73067686898149e-23	0.531061266978348	0.96	0.918	1.30789023396731e-18
C3orf70	17	5.08311621895083e-23	1.46467554328231	0.307	0.111	1.40532914105334e-18
HES1	17	8.77326130419084e-23	1.26854857745926	0.426	0.19	2.42554355276964e-18
GLRX5	17	1.41269930434314e-22	1.10583498418181	0.556	0.3	3.90568976671748e-18
SNHG18	17	2.02560373393165e-22	1.62066902288053	0.253	0.083	5.60018664320084e-18
TMOD3	17	2.27809706252123e-22	0.817869240814851	0.769	0.534	6.29825494875245e-18
C2orf27A	17	2.93083086778298e-22	1.2411713897632	0.375	0.152	8.10286810015961e-18
DCTN3	17	3.1998609121885e-22	0.930336817759966	0.592	0.319	8.84665546392754e-18
NT5DC2	17	4.27420535584394e-22	1.08231338765203	0.473	0.222	1.18168955473017e-17
HIF1A	17	4.69757236558833e-22	0.727429023199354	0.729	0.473	1.29873783191421e-17
CLIP1	17	5.00885444571157e-22	0.966189841594768	0.592	0.318	1.38479798860588e-17
SLC25A25	17	5.21043509125662e-22	1.18405858606216	0.477	0.229	1.44052898967972e-17
TLE1	17	5.47567232876822e-22	1.39420976754706	0.48	0.246	1.51385912873455e-17
PPARG	17	5.50034419020134e-22	1.18502698470624	0.336	0.13	1.52068015826496e-17
UQCRFS1	17	5.56764808180469e-22	0.928619210274759	0.588	0.316	1.53928766517654e-17
SLC12A2	17	5.6483883322485e-22	1.19797017619967	0.487	0.24	1.56160992221674e-17
ENTPD1	17	5.87935069561635e-22	1.57576622814977	0.285	0.102	1.62546408681705e-17
RPS3AP5	17	6.73174623557399e-22	0.864558840162874	0.697	0.437	1.86112588174914e-17
TUSC3	17	6.76591587661383e-22	0.943017544709781	0.57	0.3	1.87057276240743e-17
SURF1	17	8.43578314137349e-22	1.28485962174943	0.375	0.158	2.33224096509553e-17
CACNA2D1	17	9.03355209735611e-22	0.85526430956974	0.534	0.262	2.49750614835604e-17
C5orf24	17	9.57239989680435e-22	1.34755357910271	0.354	0.144	2.6464813994695e-17
ARPC2	17	1.01897712500459e-21	0.633168291689114	0.928	0.82	2.81716605750019e-17
AES	17	1.27189075922727e-21	0.663882234073481	0.852	0.673	3.51639638203563e-17
RPL10	17	1.31388299974526e-21	0.52441822907586	0.975	0.94	3.63249232939571e-17
ARPC1A	17	1.32983891800415e-21	0.892331558105306	0.718	0.484	3.67660565660606e-17
LOXL2	17	1.65156775573364e-21	0.927853602411182	0.671	0.416	4.56608937427679e-17
TMTC1	17	1.7527566423686e-21	1.19244637155488	0.401	0.174	4.84584628915646e-17
GALNT18	17	2.05597139795907e-21	0.836099233740892	0.43	0.188	5.68414412393744e-17
ESRRA	17	2.47837600746224e-21	1.41401242816751	0.314	0.12	6.85196614783086e-17
CYSTM1	17	2.51177729030052e-21	0.680214384778522	0.838	0.593	6.94431067449384e-17
FARP1	17	2.58151408519821e-21	0.853400086839913	0.682	0.389	7.13711199134748e-17
LIMA1	17	3.02931842458116e-21	0.825674406816746	0.758	0.526	8.37515664843952e-17
