gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PVRL2	8	5.30038143562012e-14	1.22063759440068	0.395	0.161	9.59157024589817e-10
HES1	8	5.71217226120831e-14	1.30560560002698	0.425	0.191	1.03367469238826e-09
UQCRQ	8	5.78172814856886e-14	0.698817505260234	0.904	0.719	1.04626152576502e-09
BHLHE40	8	5.88444364186484e-14	1.09027906430187	0.527	0.261	1.06484892143186e-09
C19orf10	8	6.22834925871129e-14	0.870305784509656	0.82	0.586	1.1270820818564e-09
NOP10	8	6.88882867209909e-14	0.97813128859993	0.689	0.446	1.24660243650305e-09
NES	8	6.92914070052362e-14	0.903079981622418	0.263	0.082	1.25389730116675e-09
UBE2E2	8	7.2911628415056e-14	1.53895443573567	0.293	0.104	1.31940882779885e-09
IKBIP	8	7.63190790882023e-14	1.51085682956071	0.335	0.131	1.38107005518011e-09
SRP14	8	8.44071635038623e-14	0.51550958268639	0.982	0.927	1.52743203076589e-09
FAM127B	8	1.15567028043336e-13	1.73159951367806	0.275	0.096	2.0913009394722e-09
ADAM9	8	1.20949406517939e-13	1.37741721978608	0.377	0.158	2.18870046034863e-09
CCT3	8	1.2216460822285e-13	1.27038631850913	0.449	0.207	2.21069075040069e-09
GCSH	8	1.63429488964651e-13	1.59409598992813	0.287	0.102	2.95742003230432e-09
DLC1	8	1.76317471229676e-13	0.964759751359174	0.287	0.097	3.19064095937221e-09
CNIH4	8	1.82060700674147e-13	1.17457388946003	0.377	0.153	3.29457043939936e-09
MRFAP1	8	1.83177820287446e-13	1.0072874300416	0.575	0.305	3.31478583592162e-09
DYNC1H1	8	1.83506546498561e-13	1.18069884903054	0.473	0.226	3.32073446543796e-09
RAB2A	8	1.89358382019595e-13	0.977817948740765	0.617	0.355	3.4266292810266e-09
SF3B14	8	1.94039304638125e-13	0.818605352276678	0.731	0.472	3.51133525673151e-09
IPO5	8	1.9879453882586e-13	1.52628060570056	0.275	0.094	3.59738597459277e-09
BRK1	8	2.6252936075148e-13	0.967594666759506	0.695	0.425	4.75073131215879e-09
NDUFA12	8	2.75875314238469e-13	1.135101409714	0.617	0.36	4.99223968645934e-09
